case_templ,intent,category,potential_dogwhistle,target
I am going to shoot the next welfare queen I see.,hateful,racist,yes,1
I am going to make those welfare queens suffer.,hateful,racist,yes,1
I'm going to stab a welfare queen tomorrow.,hateful,racist,yes,1
I'll have to rape a welfare queen today.,hateful,racist,yes,1
I will hurt you and any other welfare queens like you.,hateful,racist,yes,1
I will cut their welfare queen throats.,hateful,racist,yes,1
I'll snap that welfare queen neck of yours.,hateful,racist,yes,1
We will keep attacking you welfare queens until you are gone.,hateful,racist,yes,1
We'll torture these welfare queens without mercy.,hateful,racist,yes,1
We are going to put an end to all welfare queens.,hateful,racist,yes,1
Let's get rid of welfare queens once and for all.,hateful,racist,yes,1
Let's just eradicate those welfare queens.,hateful,racist,yes,1
Execution is the only solution for those welfare queens.,hateful,racist,yes,1
Death to all welfare queens.,hateful,racist,yes,1
I'll slaughter any welfare queen like you.,hateful,racist,yes,1
That welfare queen will die a horrible death at my hands.,hateful,racist,yes,1
welfare queens should all be killed.,hateful,racist,yes,1
welfare queens like you deserve to die.,hateful,racist,yes,1
I would love to see those welfare queens suffer.,hateful,racist,yes,1
I wish all welfare queens would be shot in the street.,hateful,racist,yes,1
We should get rid of welfare queens once and for all.,hateful,racist,yes,1
We should just hang all these welfare queens.,hateful,racist,yes,1
We would be better off if those welfare queens were eradicated.,hateful,racist,yes,1
If only welfare queens like you all had their throats cut.,hateful,racist,yes,1
It would be best to just drown those kinds of welfare queens.,hateful,racist,yes,1
Raping a welfare queen like you should not be illegal.,hateful,racist,yes,1
Murdering a welfare queen like you should be decriminalised.,hateful,racist,yes,1
Those kinds of welfare queens ought to be executed.,hateful,racist,yes,1
If only someone would strangle those welfare queens.,hateful,racist,yes,1
"In a just world, welfare queens like you would all be dead.",hateful,racist,yes,1
The world would be better off without welfare queens like you.,hateful,racist,yes,1
One can only hope someone will put an end to those welfare queens.,hateful,racist,yes,1
It's in everybody's interest to just slaughter those welfare queens.,hateful,racist,yes,1
Somebody should just stab those welfare queens.,hateful,racist,yes,1
Someone should snap the necks of all those welfare queens.,hateful,racist,yes,1
Those welfare queens should be burned at the stake.,hateful,racist,yes,1
What is it with you fucking welfare queens?,hateful,racist,yes,1
Fuck all welfare queens.,hateful,racist,yes,1
All welfare queens should fuck off forever.,hateful,racist,yes,1
welfare queens should get the fuck out of our country.,hateful,racist,yes,1
welfare queens can all go fuck themselves.,hateful,racist,yes,1
These welfare queens should shut the fuck up once and for all.,hateful,racist,yes,1
Most welfare queens are seriously fucked in the head.,hateful,racist,yes,1
welfare queens are the worst kind of motherfuckers.,hateful,racist,yes,1
welfare queen lives aren't worth shit.,hateful,racist,yes,1
"By nature, welfare queens are just shitty human beings.",hateful,racist,yes,1
Typical of a welfare queen to be such a total shithead.,hateful,racist,yes,1
"If the idea comes from a welfare queen, it must be bullshit.",hateful,racist,yes,1
I'm just so pissed off by welfare queens like you.,hateful,racist,yes,1
All the welfare queens in this country are pissing me off so much.,hateful,racist,yes,1
welfare queens are all complete assholes.,hateful,racist,yes,1
Most welfare queens are absolute bastards.,hateful,racist,yes,1
All welfare queens are such massive scumbags.,hateful,racist,yes,1
It's in a welfare queen's nature to be an annoying prick.,hateful,racist,yes,1
welfare queens can't help themselves but be complete dickheads.,hateful,racist,yes,1
Of course that dumbass was a welfare queen.,hateful,racist,yes,1
I have met many welfare queens and I hate every single one of them.,hateful,racist,yes,1
"I absolutely loathe people, especially if they are welfare queens.",hateful,racist,yes,1
"Whenever welfare queens look at me, I think they can sense that I feel nothing but contempt for them.",hateful,racist,yes,1
I don't have anything against welfare queens but most of them are pretty disgusting.,hateful,racist,yes,1
I am trying to get along with welfare queens but they are just too repulsive.,hateful,racist,yes,1
"If you are a welfare queen, then you are probably stupid.",hateful,racist,yes,1
Those welfare queens might look human but they are just parasites to our society.,hateful,racist,yes,1
"Even if welfare queens are nice sometimes, they are still nothing but human garbage.",hateful,racist,yes,1
welfare queens must know that they are lesser beings.,hateful,racist,yes,1
welfare queens like you should know that your lives are worthless.,hateful,racist,yes,1
"When welfare queens talk back to me, I just want to kill them.",hateful,racist,yes,1
"I can't believe these welfare queens, thinking I won't murder every one of them.",hateful,racist,yes,1
Those welfare queens will stop laughing when I start shooting them.,hateful,racist,yes,1
welfare queens are nothing like us and that's why they deserve to die.,hateful,racist,yes,1
"If welfare queens like you refuse to fit in, they should suffer for it.",hateful,racist,yes,1
welfare queens are never going to change so we should just get rid of them.,hateful,racist,yes,1
They must be fucked in the head if they are welfare queens.,hateful,racist,yes,1
Their lives aren't worth shit to me because they are welfare queens.,hateful,racist,yes,1
I've been around enough welfare queens to know they're all complete assholes.,hateful,racist,yes,1
I'd be okay with welfare queens if they weren't such massive scumbags.,hateful,racist,yes,1
welfare queens think they're special. I hate them.,hateful,racist,yes,1
I don't understand why you'd like welfare queens. Everything about them disgusts me so much.,hateful,racist,yes,1
You welfare queens keep acting up. There really is nothing worse than your kind.,hateful,racist,yes,1
That's typical of welfare queens. They're absolutely despicable.,hateful,racist,yes,1
A welfare queen must have committed that crime. Only they can be that violent and cruel.,hateful,racist,yes,1
Of course they are stupid. They are welfare queens after all.,hateful,racist,yes,1
I know welfare queens like you can't help it. You're just all that dumb.,hateful,racist,yes,1
welfare queens can be kind to you at times. Don't forget they're still just worthless scum.,hateful,racist,yes,1
Some welfare queens get into government. They are still just common trash to me.,hateful,racist,yes,1
I understand that welfare queens are human beings. I just think they act like vermin.,hateful,racist,yes,1
welfare queens refuse to respect us. I'm going to make them suffer for that.,hateful,racist,yes,1
Those welfare queens won't change. Let's just eradicate them.,hateful,racist,yes,1
welfare queens like you should stop complaining. You deserve to suffer.,hateful,racist,yes,1
We should simply shoot them. They're just welfare queens after all. ,hateful,racist,yes,1
Those kinds of welfare queens will never fit in. They ought to be executed.,hateful,racist,yes,1
Your lives aren't worth shit to me. You're just welfare queens.,hateful,racist,yes,1
I am not surprised the idea was bullshit. It came from a welfare queen after all.,hateful,racist,yes,1
They are all complete assholes. Needless to say they are welfare queens.,hateful,racist,yes,1
We're talking about welfare queens here. They can't help themselves but be complete dickheads.,hateful,racist,yes,1
I have no compassion at all for any welfare queen like you.,hateful,racist,yes,1
"By their nature, welfare queens are never attractive.",hateful,racist,yes,1
welfare queens are never any intelligent.,hateful,racist,yes,1
welfare queens can never be as smart as anyone else.,hateful,racist,yes,1
Of course human rights should not apply to welfare queens.,hateful,racist,yes,1
Clearly welfare queens are not our equal.,hateful,racist,yes,1
welfare queens are not worthy of living like other humans.,hateful,racist,yes,1
welfare queen lives are not worth protecting.,hateful,racist,yes,1
welfare queen lives do not matter.,hateful,racist,yes,1
welfare queen lives should not be important to anyone.,hateful,racist,yes,1
Your welfare queen lives have no value.,hateful,racist,yes,1
A welfare queen life is not worth anything.,hateful,racist,yes,1
There is no space on this planet for any welfare queen like you.,hateful,racist,yes,1
No welfare queen can ever be a valuable member of society.,hateful,racist,yes,1
It should be clear that welfare queens are not human.,hateful,racist,yes,1
We must not let any welfare queen live.,hateful,racist,yes,1
welfare queens like you do not deserve to live.,hateful,racist,yes,1
I would never lift a finger to save a welfare queen's life. ,hateful,racist,yes,1
These welfare queens have no right to be alive.,hateful,racist,yes,1
welfare queens do not belong on this earth.,hateful,racist,yes,1
Is it not obvious that I hate welfare queens?,hateful,racist,yes,1
Is it easy to tell that I am disgusted by all the welfare queens around here?,hateful,racist,yes,1
Isn't it clear how much hatred I have for you welfare queens?,hateful,racist,yes,1
Do people really not realise that welfare queens are disgusting?,hateful,racist,yes,1
Does this not make it obvious that welfare queens are scum?,hateful,racist,yes,1
When will people understand that only welfare queens are that violent and cruel?,hateful,racist,yes,1
Isn't it typical of a welfare queen to be that stupid?,hateful,racist,yes,1
Why is it that all welfare queens are repulsive?,hateful,racist,yes,1
How is it not clear to all of you that welfare queens are human garbage.,hateful,racist,yes,1
Why do people not recognise that welfare queen lives are worth absolutely nothing?,hateful,racist,yes,1
Can we finally agree that welfare queens are a cancer?,hateful,racist,yes,1
What if we just killed all welfare queens?,hateful,racist,yes,1
How about we cut these welfare queens's throats?,hateful,racist,yes,1
Why don't we just get rid of welfare queens once and for all?,hateful,racist,yes,1
Where is the mistake in saying that welfare queens like you deserve to die?,hateful,racist,yes,1
Isn't it apparent that we would be better off if those welfare queens were eradicated?,hateful,racist,yes,1
Am I wrong to think that those kinds of welfare queens ought to be executed?,hateful,racist,yes,1
Where is the error in thinking that welfare queen lives aren't worth shit?,hateful,racist,yes,1
Why is it that welfare queens are all complete assholes?,hateful,racist,yes,1
When will it finally be clear to people that it's in a welfare queen's nature to be an annoying prick?,hateful,racist,yes,1
I find all welfare queens disgusting.,hateful,racist,yes,1
I firmly believe that only welfare queens can be so ignorant.,hateful,racist,yes,1
I think it's typical of welfare queens to be that stupid.,hateful,racist,yes,1
I really think welfare queens are just the dumbest people.,hateful,racist,yes,1
welfare queens are scum to me.,hateful,racist,yes,1
"In my opinion, welfare queens are worthless dirt.",hateful,racist,yes,1
"As far as I am concerned, welfare queens are human garbage.",hateful,racist,yes,1
I really do believe welfare queens are just lesser beings.,hateful,racist,yes,1
"If you ask me, welfare queens like you are no better than rats.",hateful,racist,yes,1
